dataset,method,sigma,if_name,n_channels,r_mean,m_mean,q_mean,A_mean,p_cross_mean,p_bound_mean,D_mean,S_mean
cifar100,l2wo,0.5,layer4.2,512,174.68251064419746,70.4935692474246,4.978813364636153,0.29877634317839485,0.04360257568359375,0.009411732161621332,4.619336676557617e-08,2.1030666717538215e-09
cifar100,l2wo,0.5,layer4.6,512,105.39657343924046,30.869946790859103,2.6133000482805073,0.28802599252881617,0.05189761962890625,0.010886035708012061,1.0653348182696875e-08,5.671157777057046e-10
cifar100,l2wo,0.5,layer4.10,512,35.69671935774386,4.502843159250915,1.0005275798030198,0.21891443781510805,0.073234814453125,0.014228065743378829,3.1068381861603517e-09,2.2967428300366975e-10
cifar100,l2wo,0.5,layer5.2,512,54.90544714778662,5.044012132566422,1.0477120033465326,0.35792147823451725,0.12259794921875,0.02604121240458917,6.836435058042192e-09,8.427696997772552e-10
cifar100,l2wo,0.5,layer5.6,512,12.863999903202057,1.311463522259146,1.0,0.21751659475090573,0.085330078125,0.018481107815669383,6.628540045434429e-09,5.689455412266898e-10
cifar100,l2wo,0.5,layer5.10,512,17.811293486505747,2.0279687092406675,1.0,0.28124903738082446,0.088234228515625,0.01933301473593456,1.9227933586681294e-08,1.7183524289616131e-09
cifar100,l2wo,0.5,classifier.2,4096,144.66958618164062,2.2870192730466052,3.950687885284424,0.07464847378321789,0.03141240234375,0.006721918296030889,9.171981484827369e-09,8.556255312622019e-10
cifar100,l2wo,0.5,classifier.5,4096,150.35252380371094,3.9362860793255714,4.1451616287231445,0.08943891120513352,0.028579418945312497,0.0060261972952373975,9.666983900809082e-09,1.0113754145645792e-09
cifar100,l2wo,1.0,layer1.6,64,19.99780846387148,25.23658062145114,1.0651876889169216,1.1557416816659198,0.13300921173095703,0.026702694895614696,1.861274618109011e-07,2.9681818234814105e-08
cifar100,l2wo,1.0,layer2.2,128,61.538778349757195,57.84320887923241,1.5089880358427763,1.197420481703552,0.19281912841796875,0.04484434465621598,1.6774723116579073e-07,3.5056083280119344e-08
cifar100,l2wo,1.0,layer2.6,128,34.573266476392746,35.26487262547016,1.0017331205308437,1.325501733572363,0.16221438903808594,0.03598223743612605,1.2245402797030952e-07,2.1597946271388842e-08
cifar100,l2wo,1.0,layer3.2,256,58.01797379553318,40.60150629468262,1.287543206475675,0.7443969492750844,0.12427336425781249,0.0277823863536818,8.059132404400481e-08,1.0454894247120884e-08
cifar100,l2wo,1.0,layer3.6,256,32.414817817509174,25.24639803543687,1.0049170330166817,0.8184145468263381,0.11817180786132811,0.025726560055604208,7.551970873304058e-08,9.489201713225997e-09
cifar100,l2wo,1.0,layer3.10,256,65.72742894291878,41.8364274520427,1.4832786936312914,0.9143540880750749,0.1077208740234375,0.023421314404148144,7.375107166782135e-08,8.595315022147764e-09
cifar100,l2wo,1.0,layer4.2,512,174.68251064419746,70.4935692474246,4.978813364636153,0.5782718011225535,0.07935866699218751,0.017633535034011584,4.619336676557617e-08,3.8525654510046384e-09
cifar100,l2wo,1.0,layer4.6,512,105.39657343924046,30.869946790859103,2.6133000482805073,0.53193691879674,0.09009361572265624,0.019673779733176345,1.0653348182696875e-08,9.893656994170562e-10
cifar100,l2wo,1.0,layer4.10,512,35.69671935774386,4.502843159250915,1.0005275798030198,0.41710898822149356,0.13321307373046876,0.02694676268323092,3.1068381861603517e-09,4.188716913992275e-10
cifar100,l2wo,1.0,layer5.2,512,54.90544714778662,5.044012132566422,1.0477120033465326,0.7291117481186697,0.219430419921875,0.048111178392334836,6.836435058042192e-09,1.5095947630573192e-09
cifar100,l2wo,1.0,layer5.6,512,12.863999903202057,1.311463522259146,1.0,0.4418268868641151,0.16575771484375001,0.03709467255856143,6.628540045434429e-09,1.1067925967604196e-09
cifar100,l2wo,1.0,layer5.10,512,17.811293486505747,2.0279687092406675,1.0,0.5637942365289419,0.161678466796875,0.03721277137650177,1.9227933586681294e-08,3.1530858765115822e-09
cifar100,l2wo,1.0,classifier.2,4096,144.66958618164062,2.2870192730466052,3.950687885284424,0.15034079279309076,0.059708178710937504,0.013383242566995614,9.171981484827369e-09,1.6250696216082025e-09
cifar100,l2wo,1.0,classifier.5,4096,150.35252380371094,3.9362860793255714,4.1451616287231445,0.17773246208931692,0.0501489501953125,0.011242319675968612,9.666983900809082e-09,1.773492463914936e-09
