dataset,arch,method,label,reg_coeff,weight_decay,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.2,90.34,cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.25,90.29,cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.3,90.28,cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.35,90.02,cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.4,89.77,cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.45,89.56,cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.5,89.22,cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.55,88.9,cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.6,88.6,cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.65,88.24,cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
