arch,regularizer,seed,L,T,sigma,acc,checkpoint,matrix_csv
fc2_h32,mne_l2,44,16,16,1.0,95.37,mnist-checkpoints/fc2_h32_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h32_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h32,weight_decay,40,16,16,0.0,96.9,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_wd_l16_fc2_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,weight_decay,40,16,16,0.1,96.9,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_wd_l16_fc2_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,weight_decay,40,16,16,0.2,96.79,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_wd_l16_fc2_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,weight_decay,40,16,16,0.3,96.79,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_wd_l16_fc2_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,weight_decay,40,16,16,0.4,96.62,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_wd_l16_fc2_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,weight_decay,40,16,16,0.5,96.7,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_wd_l16_fc2_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,weight_decay,40,16,16,0.6,96.67,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_wd_l16_fc2_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,weight_decay,40,16,16,0.7,96.66,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_wd_l16_fc2_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h32,weight_decay,40,16,16,0.8,96.54,mnist-checkpoints/fc2_h32_L[16]_strict_seed40_ablation_wd_l16_fc2_h32.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16_h32/strict_seed_train_rate_uniform_L16_T16/fc2_h32/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
