arch,regularizer,sigma,acc_mean,acc_sem,n_seeds
cnn2_c16_c32,weight_decay,0.30,88.190000,0.138528,5
cnn2_c16_c32,weight_decay,0.35,87.864000,0.063135,5
cnn2_c16_c32,weight_decay,0.40,87.690000,0.150765,5
cnn2_c16_c32,weight_decay,0.45,87.308000,0.143262,5
cnn2_c16_c32,weight_decay,0.50,87.084000,0.167738,5
cnn2_c16_c32,weight_decay,0.55,86.534000,0.155293,5
cnn2_c16_c32,weight_decay,0.60,86.304000,0.212499,5
cnn2_c16_c32,weight_decay,0.65,85.996000,0.173828,5
cnn2_c16_c32,weight_decay,0.70,85.434000,0.207065,5
cnn2_c16_c32,weight_decay,0.75,85.060000,0.317789,5
cnn2_c16_c32,weight_decay,0.80,84.674000,0.315636,5
cnn2_c16_c32,weight_decay,0.85,84.194000,0.305820,5
cnn2_c16_c32,weight_decay,0.90,83.780000,0.319515,5
cnn2_c16_c32,weight_decay,0.95,83.368000,0.305342,5
cnn2_c16_c32,weight_decay,1.00,82.840000,0.392301,5
cnn2_c16_c32,mne_l2,0.00,85.212000,0.415011,5
cnn2_c16_c32,mne_l2,0.05,85.224000,0.420162,5
cnn2_c16_c32,mne_l2,0.10,85.150000,0.489826,5
cnn2_c16_c32,mne_l2,0.15,85.098000,0.479702,5
cnn2_c16_c32,mne_l2,0.20,85.110000,0.396321,5
cnn2_c16_c32,mne_l2,0.25,84.998000,0.481491,5
cnn2_c16_c32,mne_l2,0.30,85.044000,0.490618,5
cnn2_c16_c32,mne_l2,0.35,85.030000,0.434845,5
cnn2_c16_c32,mne_l2,0.40,84.938000,0.483760,5
cnn2_c16_c32,mne_l2,0.45,85.066000,0.503484,5
cnn2_c16_c32,mne_l2,0.50,84.882000,0.538399,5
cnn2_c16_c32,mne_l2,0.55,84.840000,0.554446,5
cnn2_c16_c32,mne_l2,0.60,84.742000,0.515203,5
cnn2_c16_c32,mne_l2,0.65,84.788000,0.548192,5
cnn2_c16_c32,mne_l2,0.70,84.550000,0.578835,5
cnn2_c16_c32,mne_l2,0.75,84.696000,0.540820,5
cnn2_c16_c32,mne_l2,0.80,84.328000,0.542018,5
cnn2_c16_c32,mne_l2,0.85,84.506000,0.581761,5
cnn2_c16_c32,mne_l2,0.90,84.244000,0.558718,5
cnn2_c16_c32,mne_l2,0.95,84.268000,0.561528,5
cnn2_c16_c32,mne_l2,1.00,84.036000,0.576477,5
cnn2_c16_c32,no_regularization,0.00,88.752000,0.081511,5
cnn2_c16_c32,no_regularization,0.05,88.598000,0.110245,5
cnn2_c16_c32,no_regularization,0.10,88.480000,0.113490,5
cnn2_c16_c32,no_regularization,0.15,88.538000,0.082122,5
cnn2_c16_c32,no_regularization,0.20,88.256000,0.127460,5
cnn2_c16_c32,no_regularization,0.25,87.986000,0.136294,5
cnn2_c16_c32,no_regularization,0.30,87.964000,0.160487,5
cnn2_c16_c32,no_regularization,0.35,87.724000,0.209442,5
cnn2_c16_c32,no_regularization,0.40,87.270000,0.197155,5
cnn2_c16_c32,no_regularization,0.45,86.910000,0.179304,5
cnn2_c16_c32,no_regularization,0.50,86.778000,0.237390,5
cnn2_c16_c32,no_regularization,0.55,86.724000,0.269028,5
cnn2_c16_c32,no_regularization,0.60,86.284000,0.248689,5
cnn2_c16_c32,no_regularization,0.65,85.832000,0.262705,5
cnn2_c16_c32,no_regularization,0.70,85.404000,0.257926,5
cnn2_c16_c32,no_regularization,0.75,85.162000,0.322062,5
cnn2_c16_c32,no_regularization,0.80,84.808000,0.427193,5
cnn2_c16_c32,no_regularization,0.85,84.472000,0.324721,5
cnn2_c16_c32,no_regularization,0.90,84.090000,0.355528,5
cnn2_c16_c32,no_regularization,0.95,83.472000,0.255076,5
cnn2_c16_c32,no_regularization,1.00,83.014000,0.278022,5
