dataset,method,method_label,seed,L,T,parameters,fp32_param_kib,n_samples,accuracy,if_firing_density,ann_dense_macs_per_sample,snn_dense_ops_per_sample,event_synops_per_sample,event_synops_per_ann_mac,checkpoint
mnist,l2,L2,42,16,4,2081,8.12890625,1024,95.5078125,0.11775993814273757,30184.0,120736.0,17621.69140625,0.5838090182298569,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed42_ep30_L16_trainT0.pth
mnist,l2,L2,42,16,8,2081,8.12890625,1024,95.8984375,0.1196967533656529,30184.0,241472.0,36525.388671875,1.2100910638707594,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed42_ep30_L16_trainT0.pth
mnist,l2,L2,42,16,16,2081,8.12890625,1024,94.23828125,0.12218405275928731,30184.0,482944.0,76059.158203125,2.519850192258316,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed42_ep30_L16_trainT0.pth
mnist,l2,L2,43,16,4,2081,8.12890625,1024,96.09375,0.09112611108896684,30184.0,120736.0,15775.396484375,0.5226410179026968,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed43_ep30_L16_trainT0.pth
mnist,l2,L2,43,16,8,2081,8.12890625,1024,96.2890625,0.0915476351368184,30184.0,241472.0,32146.982421875,1.0650338729749205,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed43_ep30_L16_trainT0.pth
mnist,l2,L2,43,16,16,2081,8.12890625,1024,96.19140625,0.09250282754703444,30184.0,482944.0,65848.419921875,2.181567052805294,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed43_ep30_L16_trainT0.pth
mnist,l2,L2,44,16,4,2081,8.12890625,1024,96.2890625,0.06978895226303412,30184.0,120736.0,12956.107421875,0.42923759017608665,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed44_ep30_L16_trainT0.pth
mnist,l2,L2,44,16,8,2081,8.12890625,1024,97.0703125,0.07497561707788584,30184.0,241472.0,26766.71875,0.886785010270342,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed44_ep30_L16_trainT0.pth
mnist,l2,L2,44,16,16,2081,8.12890625,1024,96.6796875,0.07545025494633889,30184.0,482944.0,54605.92578125,1.8091017022677578,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed44_ep30_L16_trainT0.pth
fashion_mnist,mne,MNE-L2,40,16,4,2081,8.12890625,1024,74.31640625,0.08929801473812181,30184.0,120736.0,12008.314453125,0.39783708100732174,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,mne,MNE-L2,40,16,8,2081,8.12890625,1024,82.03125,0.06756693003128986,30184.0,241472.0,19919.7578125,0.6599442689007421,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,mne,MNE-L2,40,16,16,2081,8.12890625,1024,84.5703125,0.06959745835284797,30184.0,482944.0,42816.587890625,1.4185193443753312,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
