arch,hidden_size,regularizer,sigma,acc_mean,acc_std,n_seeds
fc3_h128,128,weight_decay,1.0,95.542000,0.450411,5
fc3_h128,128,no_regularization,0.0,95.928000,0.214173,5
fc3_h128,128,no_regularization,0.1,95.852000,0.160686,5
fc3_h128,128,no_regularization,0.2,95.770000,0.135462,5
fc3_h128,128,no_regularization,0.3,95.522000,0.184038,5
fc3_h128,128,no_regularization,0.4,95.284000,0.357883,5
fc3_h128,128,no_regularization,0.5,94.834000,0.605459,5
fc3_h128,128,no_regularization,0.6,94.290000,1.118235,5
fc3_h128,128,no_regularization,0.7,93.732000,1.510983,5
fc3_h128,128,no_regularization,0.8,92.744000,2.401922,5
fc3_h128,128,no_regularization,0.9,91.778000,3.190042,5
fc3_h128,128,no_regularization,1.0,90.538000,4.248396,5
fc3_h128,128,mne_l2_wd,0.0,97.522000,0.148896,5
fc3_h128,128,mne_l2_wd,0.1,97.486000,0.170382,5
fc3_h128,128,mne_l2_wd,0.2,97.462000,0.181025,5
fc3_h128,128,mne_l2_wd,0.3,97.450000,0.139104,5
fc3_h128,128,mne_l2_wd,0.4,97.420000,0.143875,5
fc3_h128,128,mne_l2_wd,0.5,97.388000,0.159593,5
fc3_h128,128,mne_l2_wd,0.6,97.358000,0.153525,5
fc3_h128,128,mne_l2_wd,0.7,97.370000,0.199123,5
fc3_h128,128,mne_l2_wd,0.8,97.332000,0.152872,5
fc3_h128,128,mne_l2_wd,0.9,97.284000,0.115888,5
fc3_h128,128,mne_l2_wd,1.0,97.254000,0.143283,5
