folder,checkpoint_name,L,T,if_mode,noise_variance,noise_sigma,noise_type,repeats,max_batches,sigma_metric,sigma_time_reduce,sigma_eff,sigma_var_eff,p_metric,p_time_reduce,P_E,p_equal_count,p_total_count
mnist-checkpoints_c4_c8,cnn2_L[2].pth,2,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.3987467397467151,0.15899896245863454,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6453950843032525,6217602,9633792
mnist-checkpoints_c4_c8,cnn2_L[2].pth,2,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,1.1277228647029143,1.2717588595737475,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7872996427574936,7584681,9633792
mnist-checkpoints_c4_c8,cnn2_L[2].pth,2,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.2823831185369657,0.079740225634662,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6266144214033269,6036673,9633792
mnist-checkpoints_c4_c8,cnn2_L[2].pth,2,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.7968180146209212,0.6349189484244265,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7339219073860013,7070451,9633792
mnist-checkpoints_c4_c8,cnn2_L[2].pth,2,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.5640089274202412,0.3181060702097309,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6802966059470663,6553836,9633792
mnist-checkpoints_c4_c8,cnn2_L[32].pth,32,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.3928415944729308,0.15432451834803462,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6639736460990646,6396584,9633792
mnist-checkpoints_c4_c8,cnn2_L[32].pth,32,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,1.1110995418657916,1.234542191934372,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8387471932132228,8080316,9633792
mnist-checkpoints_c4_c8,cnn2_L[32].pth,32,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.27746853423371814,0.07698878748980803,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6195937176139987,5969037,9633792
mnist-checkpoints_c4_c8,cnn2_L[32].pth,32,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.78502286923635,0.6162609052240714,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7849589237550489,7562131,9633792
mnist-checkpoints_c4_c8,cnn2_L[32].pth,32,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.555410655116809,0.30848099581728294,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7184561385589392,6921457,9633792
mnist-checkpoints_c4_c8,cnn2_L[4].pth,4,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.416343042801005,0.17334152928879945,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6131342673788265,5906808,9633792
mnist-checkpoints_c4_c8,cnn2_L[4].pth,4,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,1.1771506643559593,1.3856836865936764,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7888048652078019,7599182,9633792
mnist-checkpoints_c4_c8,cnn2_L[4].pth,4,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.2938818478971849,0.08636654052346412,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.5839956893401892,5626093,9633792
mnist-checkpoints_c4_c8,cnn2_L[4].pth,4,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.8313935888241027,0.6912152995378212,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7116204086615114,6855603,9633792
mnist-checkpoints_c4_c8,cnn2_L[4].pth,4,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.5877071117061631,0.34539964915000043,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6554664040909333,6314627,9633792
mnist-checkpoints_c4_c8,cnn2_L[8].pth,8,16,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.3652217371884585,0.13338691731495544,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6868139772999043,6616623,9633792
mnist-checkpoints_c4_c8,cnn2_L[8].pth,8,2,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,1.0318982759173136,1.0648140518411242,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8107052757626488,7810166,9633792
mnist-checkpoints_c4_c8,cnn2_L[8].pth,8,32,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.257957995608384,0.06654232749829507,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6702812350526148,6457350,9633792
mnist-checkpoints_c4_c8,cnn2_L[8].pth,8,4,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.730395550640248,0.533477660395071,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.75954971832483,7317344,9633792
mnist-checkpoints_c4_c8,cnn2_L[8].pth,8,8,rate_uniform,0.5,0.7071067811865476,gaussian,6,4,conv1_output_pre_bn1,mean_over_time,0.5166586018354256,0.26693611085053676,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.714594419310693,6884254,9633792
