folder,checkpoint,checkpoint_name,L,T,if_mode,metric,time_reduce,p_e_if1_firing_rate,equal_count,total_count,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,2,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8548675589010019,32942465,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,4,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7885956537155878,30388666,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,8,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7433528251388446,28645226,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,16,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7077683688831978,27273973,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c16_c32,mnist-checkpoints_c16_c32/cnn2_L[32].pth,cnn2_L[32].pth,32,32,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6858876546223959,26430796,38535168,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,2,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7872996427574936,7584681,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7339219073860013,7070451,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6802966059470663,6553836,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6453950843032525,6217602,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,32,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6266144214033269,6036673,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7888048652078019,7599182,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7116204086615114,6855603,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6554664040909333,6314627,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6131342673788265,5906808,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,32,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.5839956893401892,5626093,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8107052757626488,7810166,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,4,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.75954971832483,7317344,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,8,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.714594419310693,6884254,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,16,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6868139772999043,6616623,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,32,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6702812350526148,6457350,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,2,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8389730648118623,8082492,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,4,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.807748911332111,7781685,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,8,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7379498124933567,7109255,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,16,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6782589867001488,6534206,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,32,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6339891913796769,6107720,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,2,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.8387471932132228,8080316,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,4,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7849589237550489,7562131,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,8,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.7184561385589392,6921457,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,16,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6639736460990646,6396584,9633792,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,32,rate_uniform,P_E_if1_firing_rate_equal,sum_over_time_div_thresh,0.6195937176139987,5969037,9633792,0.5,0.7071067811865476,gaussian,6,4
