folder,checkpoint,checkpoint_name,L,T,if_mode,metric,time_reduce,sigma_eff,var_eff,rms_delta,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.8379094665129142,0.7020922740719565,0.8379096357950679,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.5923884141138747,0.3509240331763514,0.5923884142730697,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.4195369162269566,0.17601122407722442,0.4195369446437532,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,pre_quant_if1_input,mean_over_time,1.5840734758659678,2.509288776942089,1.5840734823171219,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,pre_quant_if1_input,mean_over_time,1.1188144101898336,1.2517456844484254,1.1188144537423286,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.7909201921682063,0.6255547503793925,0.7909204275772074,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.5603477134682993,0.3139895599891512,0.560347714356445,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,32,rate_uniform,pre_quant_if1_input,mean_over_time,0.3955182533030215,0.15643468869587307,0.39551829124156945,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,pre_quant_if1_input,mean_over_time,1.3916363746095477,1.9366517991364054,1.3916364043423082,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,4,rate_uniform,pre_quant_if1_input,mean_over_time,0.9850658079969415,0.9703546460846673,0.9850658085599501,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,8,rate_uniform,pre_quant_if1_input,mean_over_time,0.6967633509767921,0.48547916726440843,0.6967633514047573,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,16,rate_uniform,pre_quant_if1_input,mean_over_time,0.4925864552560011,0.24264141590167237,0.49258646520266997,0.5,0.7071067811865476,gaussian,6,4
