checkpoint,layer,type,shape,m_layer_mean,m_layer_strict,numel
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed52.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.3438537120819092,0.3931940495967865,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed53.pth,classifier.weight,fc,"(10, 196)",0.3182395100593567,0.39549094438552856,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed53.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.6047894358634949,0.804511308670044,18
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed53.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.41451236605644226,0.43986332416534424,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed54.pth,classifier.weight,fc,"(10, 196)",0.32980987429618835,0.4660029411315918,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed54.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.5383839011192322,0.6868278980255127,18
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed54.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.4055902659893036,0.5423634648323059,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed55.pth,classifier.weight,fc,"(10, 196)",0.34836944937705994,0.5005786418914795,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed55.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.36201316118240356,0.4014623165130615,18
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed55.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.35779672861099243,0.40443655848503113,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed56.pth,classifier.weight,fc,"(10, 196)",0.2946150004863739,0.38061127066612244,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed56.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.42796480655670166,0.46452534198760986,18
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed56.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.35897713899612427,0.398716539144516,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed57.pth,classifier.weight,fc,"(10, 196)",0.32032784819602966,0.3667565882205963,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed57.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.5195498466491699,0.5378050208091736,18
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed57.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.395461767911911,0.5086434483528137,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed58.pth,classifier.weight,fc,"(10, 196)",0.3258633613586426,0.4703928232192993,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed58.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.526057243347168,0.5283874273300171,18
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed58.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.36929798126220703,0.4831755459308624,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed59.pth,classifier.weight,fc,"(10, 196)",0.29714927077293396,0.4458647072315216,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed59.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.3183770179748535,0.3448657691478729,18
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed59.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.31502044200897217,0.36745500564575195,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed60.pth,classifier.weight,fc,"(10, 196)",0.3118353486061096,0.47671961784362793,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed60.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.37599581480026245,0.4074847996234894,18
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed60.pth,conv2.weight,conv,"(4, 2, 3, 3)",0.41228628158569336,0.4838627576828003,72
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed61.pth,classifier.weight,fc,"(10, 196)",0.2929184138774872,0.3847467005252838,1960
mnist-checkpoints/cnn2_L[2]_L2_ann2snn_seed61.pth,conv1.weight,conv,"(2, 1, 3, 3)",0.4794164299964905,0.5875825881958008,18
