dataset,arch,method,label,reg_coeff,weight_decay,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
cifar10,vgg16,no_regularization,no regularization,,0.0,42,16,16,rate_uniform,0.5,83.92,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_none_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/no_regularization/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,no_regularization,no regularization,,0.0,42,16,16,rate_uniform,0.55,81.76,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_none_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/no_regularization/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,no_regularization,no regularization,,0.0,42,16,16,rate_uniform,0.6,79.92,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_none_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/no_regularization/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,no_regularization,no regularization,,0.0,42,16,16,rate_uniform,0.65,77.75,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_none_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/no_regularization/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,no_regularization,no regularization,,0.0,42,16,16,rate_uniform,0.7,75.46,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_none_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/no_regularization/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,no_regularization,no regularization,,0.0,42,16,16,rate_uniform,0.75,72.78,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_none_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/no_regularization/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,no_regularization,no regularization,,0.0,42,16,16,rate_uniform,0.8,70.23,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_none_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/no_regularization/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,no_regularization,no regularization,,0.0,42,16,16,rate_uniform,0.85,67.67,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_none_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/no_regularization/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,no_regularization,no regularization,,0.0,42,16,16,rate_uniform,0.9,64.63,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_none_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/no_regularization/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,no_regularization,no regularization,,0.0,42,16,16,rate_uniform,0.95,61.77,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_none_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/no_regularization/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
