arch,hidden_size,regularizer,if_mode,L,T,sigma,acc_mean,acc_std,n_seeds
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.85,92.260000,0.792401,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.90,91.732000,0.958786,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,0.95,91.304000,0.808381,5
fc3rev_h16,16,no_regularization,rate_uniform,16,16,1.00,90.910000,0.880937,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.00,96.466000,0.270703,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.05,96.424000,0.303200,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.10,96.430000,0.226716,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.15,96.416000,0.230282,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.20,96.306000,0.302457,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.25,96.346000,0.221766,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.30,96.296000,0.285009,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.35,96.258000,0.284728,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.40,96.156000,0.258322,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.45,96.196000,0.370176,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.50,96.112000,0.298446,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.55,95.964000,0.381484,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.60,95.838000,0.409536,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.65,95.822000,0.400087,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.70,95.750000,0.488825,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.75,95.592000,0.515141,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.80,95.410000,0.531272,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.85,95.384000,0.530406,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.90,95.156000,0.652250,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.95,95.040000,0.587367,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,1.00,94.878000,0.577339,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.00,97.182000,0.134052,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.05,97.144000,0.140641,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.10,97.148000,0.099850,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.15,97.086000,0.115456,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.20,97.098000,0.187803,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.25,97.124000,0.163646,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.30,97.066000,0.105499,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.35,97.110000,0.144395,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.40,97.040000,0.196850,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.45,97.110000,0.104163,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.50,96.984000,0.132778,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.55,96.946000,0.122188,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.60,96.970000,0.126095,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.65,96.920000,0.173349,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.70,96.994000,0.104307,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.75,96.900000,0.194679,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.80,96.928000,0.171377,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.85,96.764000,0.144672,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.90,96.850000,0.108397,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,0.95,96.770000,0.094604,5
fc3rev_h32,32,mne_l2,rate_uniform,16,16,1.00,96.742000,0.203519,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.00,96.680000,0.251794,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.05,96.654000,0.228976,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.10,96.632000,0.258496,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.15,96.598000,0.273624,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.20,96.570000,0.251794,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.25,96.566000,0.248355,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.30,96.524000,0.233624,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.35,96.478000,0.216495,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.40,96.486000,0.307132,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.45,96.296000,0.286321,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.50,96.236000,0.340925,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.55,96.188000,0.414873,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.60,96.136000,0.378061,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.65,95.992000,0.458225,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.70,95.862000,0.427282,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.75,95.762000,0.522082,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.80,95.626000,0.669649,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.85,95.586000,0.638459,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.90,95.480000,0.629643,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,0.95,95.190000,0.749400,5
fc3rev_h32,32,no_regularization,rate_uniform,16,16,1.00,95.082000,0.907480,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.00,97.732000,0.293718,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.05,97.712000,0.299533,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.10,97.688000,0.258786,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.15,97.668000,0.328968,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.20,97.634000,0.312858,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.25,97.602000,0.314118,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.30,97.616000,0.306888,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.35,97.600000,0.280446,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.40,97.590000,0.305614,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.45,97.560000,0.295212,5
