arch,hidden_size,regularizer,if_mode,L,T,seed,sigma,acc,checkpoint,matrix_csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.25,80.090000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.30,79.830000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.35,79.580000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.40,79.810000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.45,79.690000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.50,79.470000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.55,79.690000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.60,79.510000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.65,79.410000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.70,79.490000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.75,78.940000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.80,78.880000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.85,78.660000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.90,78.500000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,0.95,78.590000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,42,1.00,78.760000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_42/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.00,80.380000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.05,80.310000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.10,80.390000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.15,80.190000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.20,80.110000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.25,79.960000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.30,80.090000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.35,79.780000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.40,79.970000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.45,80.240000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.50,79.780000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.55,79.790000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.60,79.890000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.65,79.180000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.70,79.450000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.75,79.110000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.80,79.350000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.85,79.410000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.90,79.180000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,0.95,79.170000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,43,1.00,79.010000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_43/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,44,0.00,81.050000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_44/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,44,0.05,81.150000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_44/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,44,0.10,81.110000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_44/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_44.csv
