arch,hidden_size,regularizer,L,T,seed,if_mode,acc,checkpoint
fc3_h4,4,weight_decay,8,16,40,normal,81.900000,mnist-checkpoints/fc3_h4_L[8]_strict_seed40_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,16,41,normal,11.350000,mnist-checkpoints/fc3_h4_L[8]_strict_seed41_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,16,42,normal,83.890000,mnist-checkpoints/fc3_h4_L[8]_strict_seed42_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,16,43,normal,82.200000,mnist-checkpoints/fc3_h4_L[8]_strict_seed43_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,16,44,normal,42.160000,mnist-checkpoints/fc3_h4_L[8]_strict_seed44_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,32,40,normal,82.110000,mnist-checkpoints/fc3_h4_L[8]_strict_seed40_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,32,41,normal,11.350000,mnist-checkpoints/fc3_h4_L[8]_strict_seed41_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,32,42,normal,84.080000,mnist-checkpoints/fc3_h4_L[8]_strict_seed42_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,32,43,normal,82.060000,mnist-checkpoints/fc3_h4_L[8]_strict_seed43_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,8,32,44,normal,43.090000,mnist-checkpoints/fc3_h4_L[8]_strict_seed44_ablation_wd_l8_fc3_h4.pth
fc3_h4,4,weight_decay,16,2,40,normal,59.530000,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,2,41,normal,18.740000,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,2,42,normal,20.480000,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,2,43,normal,62.230000,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,2,44,normal,37.440000,mnist-checkpoints/fc3_h4_L[16]_strict_seed44_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,4,40,normal,71.860000,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,4,41,normal,27.530000,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,4,42,normal,26.930000,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,4,43,normal,73.000000,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,4,44,normal,54.400000,mnist-checkpoints/fc3_h4_L[16]_strict_seed44_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,8,40,normal,80.040000,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_wd_l16_fc3_h4.pth
fc3_h4,4,weight_decay,16,8,41,normal,45.990000,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_wd_l16_fc3_h4.pth
