dataset,method,label,seed,sigma,acc,checkpoint,matrix_csv
cifar10,mne_l2,MNE-standard,42,0.10,90.470000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.15,90.260000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.20,90.110000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.25,89.750000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.30,89.650000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.35,89.060000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.40,88.210000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.45,87.440000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.50,86.460000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,mne_l2,MNE-standard,42,0.55,85.570000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_mne_l2_l16_vgg16_rc1em04.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/MNE-standard/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
