family,arch,size_label,hidden_size,c1,c2,regularizer,L,T,seed,if_mode,acc,checkpoint
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,8,0,40,normal,98.690000,mnist-checkpoints/cnn2_c4_c8_L[8]_strict_seed40_ablation_wd_l8_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,8,0,41,normal,98.670000,mnist-checkpoints/cnn2_c4_c8_L[8]_strict_seed41_ablation_wd_l8_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,8,0,42,normal,98.740000,mnist-checkpoints/cnn2_c4_c8_L[8]_strict_seed42_ablation_wd_l8_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,8,0,43,normal,98.790000,mnist-checkpoints/cnn2_c4_c8_L[8]_strict_seed43_ablation_wd_l8_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,8,0,44,normal,98.810000,mnist-checkpoints/cnn2_c4_c8_L[8]_strict_seed44_ablation_wd_l8_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,16,0,40,normal,98.780000,mnist-checkpoints/cnn2_c4_c8_L[16]_strict_seed40_ablation_wd_l16_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,16,0,41,normal,98.700000,mnist-checkpoints/cnn2_c4_c8_L[16]_strict_seed41_ablation_wd_l16_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,16,0,42,normal,98.830000,mnist-checkpoints/cnn2_c4_c8_L[16]_strict_seed42_ablation_wd_l16_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,16,0,43,normal,98.710000,mnist-checkpoints/cnn2_c4_c8_L[16]_strict_seed43_ablation_wd_l16_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,16,0,44,normal,98.860000,mnist-checkpoints/cnn2_c4_c8_L[16]_strict_seed44_ablation_wd_l16_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,32,0,40,normal,98.750000,mnist-checkpoints/cnn2_c4_c8_L[32]_strict_seed40_ablation_wd_l32_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,32,0,41,normal,98.770000,mnist-checkpoints/cnn2_c4_c8_L[32]_strict_seed41_ablation_wd_l32_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,32,0,42,normal,98.890000,mnist-checkpoints/cnn2_c4_c8_L[32]_strict_seed42_ablation_wd_l32_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,32,0,43,normal,98.820000,mnist-checkpoints/cnn2_c4_c8_L[32]_strict_seed43_ablation_wd_l32_cnn2_c4_c8.pth
cnn2,cnn2_c4_c8,c4c8,,4,8,weight_decay,32,0,44,normal,98.760000,mnist-checkpoints/cnn2_c4_c8_L[32]_strict_seed44_ablation_wd_l32_cnn2_c4_c8.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,2,0,40,normal,98.790000,mnist-checkpoints/cnn2_c8_c16_L[2]_strict_seed40_ablation_wd_l2_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,2,0,41,normal,98.730000,mnist-checkpoints/cnn2_c8_c16_L[2]_strict_seed41_ablation_wd_l2_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,2,0,42,normal,98.730000,mnist-checkpoints/cnn2_c8_c16_L[2]_strict_seed42_ablation_wd_l2_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,2,0,43,normal,98.730000,mnist-checkpoints/cnn2_c8_c16_L[2]_strict_seed43_ablation_wd_l2_cnn2_c8_c16.pth
