arch,hidden_size,regularizer,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
fc3_h4,4,mne_l2,43,16,16,normal,0.0,80.55,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_43/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_43.csv
fc3_h4,4,mne_l2,43,16,16,normal,0.1,80.54,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_43/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_43.csv
fc3_h4,4,mne_l2,43,16,16,normal,0.2,80.38,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_43/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_43.csv
fc3_h4,4,mne_l2,43,16,16,normal,0.3,80.41,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_43/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_43.csv
fc3_h4,4,mne_l2,43,16,16,normal,0.4,80.67,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_43/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_43.csv
fc3_h4,4,mne_l2,43,16,16,normal,0.5,80.22,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_43/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_43.csv
fc3_h4,4,mne_l2,43,16,16,normal,0.6,80.01,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_43/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_43.csv
fc3_h4,4,mne_l2,43,16,16,normal,0.7,79.94,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_43/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_43.csv
fc3_h4,4,mne_l2,43,16,16,normal,0.8,79.88,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_43/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_43.csv
fc3_h4,4,mne_l2,43,16,16,normal,0.9,79.59,mnist-checkpoints/fc3_h4_L[16]_strict_seed43_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_43/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_43.csv
