arch,hidden_size,regularizer,sigma,acc_mean,acc_std,n_seeds
fc3_h16,16,weight_decay,0.5,92.586000,1.865457,5
fc3_h16,16,weight_decay,0.6,91.798000,2.128384,5
fc3_h16,16,weight_decay,0.7,91.190000,2.415295,5
fc3_h16,16,weight_decay,0.8,89.856000,2.941578,5
fc3_h16,16,weight_decay,0.9,88.594000,3.366798,5
fc3_h16,16,weight_decay,1.0,87.050000,3.820890,5
fc3_h32,32,mne_l2,0.0,96.738000,0.163003,5
fc3_h32,32,mne_l2,0.1,96.740000,0.156684,5
fc3_h32,32,mne_l2,0.2,96.720000,0.168523,5
fc3_h32,32,mne_l2,0.3,96.716000,0.207196,5
fc3_h32,32,mne_l2,0.4,96.664000,0.186494,5
fc3_h32,32,mne_l2,0.5,96.670000,0.163248,5
fc3_h32,32,mne_l2,0.6,96.648000,0.248938,5
fc3_h32,32,mne_l2,0.7,96.564000,0.328527,5
fc3_h32,32,mne_l2,0.8,96.510000,0.228692,5
fc3_h32,32,mne_l2,0.9,96.356000,0.206470,5
fc3_h32,32,mne_l2,1.0,96.342000,0.312522,5
fc3_h32,32,no_regularization,0.0,96.202000,0.276622,5
fc3_h32,32,no_regularization,0.1,96.196000,0.286321,5
fc3_h32,32,no_regularization,0.2,96.030000,0.207726,5
fc3_h32,32,no_regularization,0.3,95.938000,0.211353,5
fc3_h32,32,no_regularization,0.4,95.786000,0.352605,5
fc3_h32,32,no_regularization,0.5,95.266000,0.503120,5
fc3_h32,32,no_regularization,0.6,94.438000,0.761492,5
fc3_h32,32,no_regularization,0.7,93.792000,0.927130,5
fc3_h32,32,no_regularization,0.8,92.666000,1.466724,5
fc3_h32,32,no_regularization,0.9,91.224000,2.120502,5
fc3_h32,32,no_regularization,1.0,89.604000,2.594307,5
fc3_h32,32,weight_decay,0.0,97.176000,0.316433,5
fc3_h32,32,weight_decay,0.1,97.118000,0.305565,5
fc3_h32,32,weight_decay,0.2,97.114000,0.302870,5
fc3_h32,32,weight_decay,0.3,97.038000,0.330333,5
fc3_h32,32,weight_decay,0.4,97.044000,0.309160,5
fc3_h32,32,weight_decay,0.5,96.944000,0.310290,5
fc3_h32,32,weight_decay,0.6,96.912000,0.294483,5
fc3_h32,32,weight_decay,0.7,96.720000,0.392938,5
fc3_h32,32,weight_decay,0.8,96.614000,0.346526,5
fc3_h32,32,weight_decay,0.9,96.464000,0.427878,5
fc3_h32,32,weight_decay,1.0,96.364000,0.429162,5
fc3_h64,64,mne_l2,0.0,97.654000,0.114586,5
fc3_h64,64,mne_l2,0.1,97.630000,0.136565,5
fc3_h64,64,mne_l2,0.2,97.652000,0.079812,5
fc3_h64,64,mne_l2,0.3,97.568000,0.073959,5
fc3_h64,64,mne_l2,0.4,97.622000,0.103779,5
fc3_h64,64,mne_l2,0.5,97.582000,0.111669,5
fc3_h64,64,mne_l2,0.6,97.520000,0.106536,5
fc3_h64,64,mne_l2,0.7,97.404000,0.080808,5
fc3_h64,64,mne_l2,0.8,97.428000,0.158493,5
fc3_h64,64,mne_l2,0.9,97.388000,0.104259,5
fc3_h64,64,mne_l2,1.0,97.272000,0.107796,5
fc3_h64,64,no_regularization,0.0,96.736000,0.127984,5
fc3_h64,64,no_regularization,0.1,96.684000,0.150599,5
fc3_h64,64,no_regularization,0.2,96.612000,0.095499,5
fc3_h64,64,no_regularization,0.3,96.464000,0.256671,5
fc3_h64,64,no_regularization,0.4,96.292000,0.255773,5
fc3_h64,64,no_regularization,0.5,95.736000,0.661007,5
fc3_h64,64,no_regularization,0.6,95.112000,1.112394,5
fc3_h64,64,no_regularization,0.7,94.304000,1.492340,5
fc3_h64,64,no_regularization,0.8,93.258000,2.381474,5
fc3_h64,64,no_regularization,0.9,91.888000,3.297836,5
fc3_h64,64,no_regularization,1.0,90.528000,4.138631,5
fc3_h64,64,weight_decay,0.0,97.710000,0.117686,5
fc3_h64,64,weight_decay,0.1,97.686000,0.127004,5
fc3_h64,64,weight_decay,0.2,97.680000,0.124900,5
fc3_h64,64,weight_decay,0.3,97.682000,0.111221,5
fc3_h64,64,weight_decay,0.4,97.630000,0.156684,5
fc3_h64,64,weight_decay,0.5,97.632000,0.135904,5
fc3_h64,64,weight_decay,0.6,97.610000,0.134907,5
fc3_h64,64,weight_decay,0.7,97.564000,0.160406,5
fc3_h64,64,weight_decay,0.8,97.518000,0.111669,5
fc3_h64,64,weight_decay,0.9,97.420000,0.138022,5
fc3_h64,64,weight_decay,1.0,97.312000,0.200175,5
fc3_h128,128,mne_l2,0.0,98.030000,0.027386,5
fc3_h128,128,mne_l2,0.1,98.032000,0.062610,5
fc3_h128,128,mne_l2,0.2,97.984000,0.065038,5
fc3_h128,128,mne_l2,0.3,98.030000,0.025495,5
fc3_h128,128,mne_l2,0.4,97.968000,0.027749,5
fc3_h128,128,mne_l2,0.5,97.950000,0.082462,5
fc3_h128,128,mne_l2,0.6,97.930000,0.115974,5
fc3_h128,128,mne_l2,0.7,97.916000,0.136675,5
fc3_h128,128,mne_l2,0.8,97.886000,0.119080,5
fc3_h128,128,mne_l2,0.9,97.846000,0.128374,5
fc3_h128,128,mne_l2,1.0,97.758000,0.139893,5
fc3_h128,128,no_regularization,0.0,96.970000,0.364349,5
fc3_h128,128,no_regularization,0.1,96.930000,0.372290,5
fc3_h128,128,no_regularization,0.2,96.732000,0.294058,5
fc3_h128,128,no_regularization,0.3,96.478000,0.157544,5
fc3_h128,128,no_regularization,0.4,95.836000,0.471943,5
fc3_h128,128,no_regularization,0.5,94.832000,1.126086,5
fc3_h128,128,no_regularization,0.6,93.366000,2.136558,5
fc3_h128,128,no_regularization,0.7,91.648000,3.253055,5
fc3_h128,128,no_regularization,0.8,89.324000,4.731250,5
fc3_h128,128,no_regularization,0.9,86.734000,6.104386,5
fc3_h128,128,no_regularization,1.0,84.022000,7.664106,5
fc3_h128,128,weight_decay,0.0,97.796000,0.130307,5
fc3_h128,128,weight_decay,0.1,97.788000,0.114543,5
fc3_h128,128,weight_decay,0.2,97.760000,0.132476,5
fc3_h128,128,weight_decay,0.3,97.746000,0.138311,5
fc3_h128,128,weight_decay,0.4,97.748000,0.129499,5
fc3_h128,128,weight_decay,0.5,97.696000,0.108766,5
fc3_h128,128,weight_decay,0.6,97.642000,0.190709,5
fc3_h128,128,weight_decay,0.7,97.592000,0.144291,5
fc3_h128,128,weight_decay,0.8,97.536000,0.097877,5
fc3_h128,128,weight_decay,0.9,97.470000,0.183848,5
fc3_h128,128,weight_decay,1.0,97.400000,0.068557,5
