arch,hidden_size,regularizer,sigma,acc_mean,acc_std,n_seeds
fc3_h32,32,no_regularization,0.65,81.300000,4.427657,5
fc3_h32,32,no_regularization,0.70,76.568000,4.670366,5
fc3_h32,32,no_regularization,0.75,72.442000,4.520329,5
fc3_h32,32,no_regularization,0.80,68.100000,4.666835,5
fc3_h32,32,no_regularization,0.85,63.818000,4.467474,5
fc3_h32,32,no_regularization,0.90,60.168000,4.379352,5
fc3_h32,32,no_regularization,0.95,56.320000,4.233692,5
fc3_h32,32,no_regularization,1.00,53.130000,4.051469,5
fc3_h64,64,mne_l2,0.00,97.236000,0.091815,5
fc3_h64,64,mne_l2,0.05,97.176000,0.176437,5
fc3_h64,64,mne_l2,0.10,97.164000,0.139392,5
fc3_h64,64,mne_l2,0.15,97.182000,0.150067,5
fc3_h64,64,mne_l2,0.20,97.092000,0.140961,5
fc3_h64,64,mne_l2,0.25,97.028000,0.165741,5
fc3_h64,64,mne_l2,0.30,96.974000,0.207075,5
fc3_h64,64,mne_l2,0.35,96.984000,0.178550,5
fc3_h64,64,mne_l2,0.40,96.738000,0.189130,5
fc3_h64,64,mne_l2,0.45,96.732000,0.239102,5
fc3_h64,64,mne_l2,0.50,96.546000,0.257060,5
fc3_h64,64,mne_l2,0.55,96.306000,0.271993,5
fc3_h64,64,mne_l2,0.60,95.942000,0.209929,5
fc3_h64,64,mne_l2,0.65,95.612000,0.265273,5
fc3_h64,64,mne_l2,0.70,95.056000,0.420214,5
fc3_h64,64,mne_l2,0.75,94.448000,0.613531,5
fc3_h64,64,mne_l2,0.80,93.278000,0.608128,5
fc3_h64,64,mne_l2,0.85,92.308000,0.811554,5
fc3_h64,64,mne_l2,0.90,90.730000,1.041441,5
fc3_h64,64,mne_l2,0.95,88.780000,1.123454,5
fc3_h64,64,mne_l2,1.00,87.020000,1.363213,5
fc3_h64,64,weight_decay,0.00,97.726000,0.114368,5
fc3_h64,64,weight_decay,0.05,97.690000,0.161400,5
fc3_h64,64,weight_decay,0.10,97.678000,0.131034,5
fc3_h64,64,weight_decay,0.15,97.670000,0.142127,5
fc3_h64,64,weight_decay,0.20,97.654000,0.160562,5
fc3_h64,64,weight_decay,0.25,97.654000,0.118448,5
fc3_h64,64,weight_decay,0.30,97.620000,0.172772,5
fc3_h64,64,weight_decay,0.35,97.562000,0.162388,5
fc3_h64,64,weight_decay,0.40,97.492000,0.186735,5
fc3_h64,64,weight_decay,0.45,97.394000,0.201817,5
fc3_h64,64,weight_decay,0.50,97.222000,0.260806,5
