dataset,arch,method,method_label,T,sigma,condition,use_for_energy,n_seeds,n_samples,noise_position,accuracy_mean,accuracy_std,firing_density_mean_mean,firing_density_mean_std,firing_density_median_mean,firing_density_median_std,firing_density_p95_mean,firing_density_p95_std,event_synops_mean_mean,event_synops_mean_std,event_synops_median_mean,event_synops_median_std,event_synops_p95_mean,event_synops_p95_std,rest_acs_mean_mean,rest_acs_mean_std,rest_acs_median_mean,rest_acs_median_std,rest_acs_p95_mean,rest_acs_p95_std,energy_mJ_mean_mean,energy_mJ_mean_std,energy_mJ_median_mean,energy_mJ_median_std,energy_mJ_p95_mean,energy_mJ_p95_std
cifar10,vgg16,l2_wo,L2-wo,16,0,clean,yes,5,10000,post_input_if,91.102,0.07395944834839968,0.10241601562060898,0.0011267035628709245,0.10305658793277876,0.001098479034923608,0.11766628347712453,0.0011859273622746903,443529838.5033725,3656894.197652408,442462154.75,3742167.1296204654,515308693.71999997,4775226.9177933335,416385646.5033725,3656894.197652408,415317962.75,3742167.1296204654,488164501.71999997,4775226.9177933335,0.5049802210530353,0.0032912047778871738,0.5040193056750001,0.0033679504166584375,0.569581190748,0.004297704226014041
cifar10,vgg16,l2_wo,L2-wo,16,1,noise,no,5,10000,post_input_if,90.81800000000001,0.11166915420115067,0.10271114198533751,0.001131945692743014,0.10337645167069469,0.0011113107068483337,0.11795912269208071,0.001203017716864356,880627140.7389,2252705.092082435,879151120.85,2488328.1046119197,936461276.9199998,2639027.948536076,853482948.7389,2252705.092082435,852006928.85,2488328.1046119197,909317084.9199998,2639027.948536076,0.8983677930650101,0.0020274345828742513,0.8970393751650001,0.0022394952941507088,0.9486185156280001,0.0023751251536825125
cifar10,vgg16,l1,L1,4,0,clean,yes,5,10000,post_input_if,89.092,0.24661711213944787,0.07656344178563398,0.0013262778559769088,0.07700801273044064,0.001342221481595059,0.09021496669851618,0.0014684580460944366,78932370.93033786,1156858.906330243,79033598.15625,1160952.8006781542,92442371.09187499,1263925.7993946401,72146322.93113786,1156858.9063302493,72247550.15625,1160952.8006781542,85656323.09187499,1263925.7993946401,0.09748997543802408,0.0010411730156972179,0.09758107994062501,0.0010448575206103408,0.10964897558268749,0.0011375332194551709
cifar10,vgg16,l1,L1,4,1,noise,no,5,10000,post_input_if,87.334,0.17052858997833906,0.07623459741386578,0.0014093536137962026,0.07667859852742806,0.0014245665733633674,0.09015333436375898,0.001573010536380753,196975478.7372654,763755.4624041046,197099581.95,779905.5897608906,207252511.536875,823562.8515293255,190189430.73806542,763755.4624041081,190313533.95,779905.5897608906,200466463.536875,823562.8515293255,0.2037287724642589,0.0006873799161636871,0.20384046535500003,0.0007019150307848056,0.2129781019831875,0.0007412065663763976
cifar10,vgg16,l1,L1,8,0,clean,yes,5,10000,post_input_if,89.704,0.3028696089078549,0.07662431890034846,0.0013503099896097403,0.07708678760116908,0.0013867160135778115,0.09026433052776528,0.001499856192832938,160014563.25501218,2401768.0818679715,160172287.15,2402908.2348758937,187041067.0675,2669580.2627231185,146442467.25501218,2401768.0818679715,146600191.15,2402908.2348758937,173468971.0675,2669580.2627231185,0.196914790129511,0.0021615912736811715,0.19705674163500003,0.0021626174113883,0.22123864356075001,0.002402622236450813
cifar10,vgg16,l1,L1,8,1,noise,no,5,10000,post_input_if,89.13199999999999,0.2733495930123192,0.07640566121712006,0.0013666678373479336,0.07685217548617355,0.0013863790344952596,0.0902405531629384,0.0015576256025612873,397591402.9914316,1620707.7409141304,397817774.9,1631704.4164798215,417286591.01374996,1899199.059869728,384019306.9914316,1620707.7409141304,384245678.9,1631704.4164798215,403714495.01374996,1899199.059869728,0.4107339458922884,0.0014586369668227119,0.41093768061,0.0014685339748318278,0.42845961511237507,0.0017092791538827383
cifar10,vgg16,l1,L1,16,0,clean,yes,5,10000,post_input_if,89.874,0.19969977466186248,0.07679087531878795,0.0013839751556083777,0.07726062802102068,0.0014241104389536182,0.09041458678760117,0.0015657861656780678,329044706.35229623,5153262.143511492,329518837.525,5104482.8240719335,382682088.3175,5726238.738503328,301900514.35229623,5153262.143511492,302374645.525,5104482.8240719335,355537896.3175,5726238.738503328,0.4019436021170666,0.004637935929160349,0.4023703201725001,0.004594034541664762,0.45021724588575,0.005153614864652987
cifar10,vgg16,l1,L1,16,1,noise,no,5,10000,post_input_if,89.596,0.16133815419794936,0.07661967157816715,0.0013802190675092129,0.07711131143912994,0.0014135564520356258,0.09039745962019446,0.0015891235628403384,805966090.0570999,3585792.753871209,806454998.0,3576264.6725670914,844198715.29,4118938.727007276,778821898.0570999,3585792.753871209,779310806.0,3576264.6725670914,817054523.29,4118938.727007276,0.8311728474513901,0.0032272134784840536,0.8316128646000001,0.0032186382053103705,0.8655822101609999,0.0037070448543065214
cifar10,vgg16,mne_l2,MNE-L2,4,0,clean,yes,5,10000,post_input_if,89.934,0.1628803241647042,0.08266138738618481,0.001314994794397706,0.08275401163444245,0.0013045206973565217,0.09886061853642085,0.0015134452608117034,97425628.92998968,607781.1597396542,96453108.125,591290.28052581,119941424.55749997,975109.575623232,90639580.93078968,607781.159739653,89667060.125,591290.28052581,113155376.55749997,975109.575623232,0.11413390763771072,0.00054700304376569,0.11325863891250001,0.0005321612524732339,0.13439812370175,0.0008775986180609163
cifar10,vgg16,mne_l2,MNE-L2,4,1,noise,no,5,10000,post_input_if,88.97200000000001,0.2053533540023124,0.08260898655294514,0.0015061557363793966,0.08276446225831835,0.0014809950726456947,0.09894997576157823,0.0016547221458811706,217983752.2418078,340831.1406624128,217040126.7875,330462.06620458025,237336071.2475,625922.8271235399,211197704.2426078,340831.14066240157,210254078.7875,330462.06620458025,230550023.2475,625922.8271235399,0.22263621861834704,0.00030674802659615597,0.22178695570875,0.00029741585958412,0.24005330572275,0.0005633305444111921
cifar10,vgg16,mne_l2,MNE-L2,8,0,clean,yes,5,10000,post_input_if,90.30999999999999,0.17073371078963825,0.08291196264472797,0.0013312587737078253,0.08301479421931204,0.0013182106695651705,0.09900752444919064,0.0015606515997216193,198126612.0170025,1351419.5084667562,196120078.7125,1302632.06565451,243230681.00499997,2165961.4395171083,184554516.0170025,1351419.5084667562,182547982.7125,1302632.06565451,229658585.00499997,2165961.4395171083,0.2312156340153023,0.001216277557620091,0.22940975404125002,0.001172368859089065,0.2718092961045,0.001949365295565387
