model,regularizer,seed,sigma,acc,matrix_csv
fc2_h8,weight_decay,40,0.5,78.94,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,weight_decay,40,0.6,77.76,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,weight_decay,40,0.7,76.99,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,weight_decay,40,0.8,75.2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,weight_decay,40,0.9,72.95,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,weight_decay,40,1.0,71.45,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,weight_decay,41,0.0,82.01,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,weight_decay,41,0.1,81.78,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,weight_decay,41,0.2,81.37,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,weight_decay,41,0.3,80.91,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,weight_decay,41,0.4,80.01,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,weight_decay,41,0.5,78.98,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,weight_decay,41,0.6,77.28,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/weight_decay/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
